총 인구수,공영주차장,주거공간,주거공간 외 충전소 개수,전기차 수,완속,주소명,시군구,cluster
0.023386780783503258,0.0,0.06097854904796336,0.02371732817037754,0.010165326184092952,0.05147725212978069,0.22370012091898428,가평군,0
0.49656299493037637,0.07950191570881227,0.3661123162207761,0.21781219748305905,0.5261394101876676,0.3190139568606127,0.28657799274486095,고양시덕양구,1
0.2773080836295827,0.0871647509578544,0.3651482284887925,0.21297192642787996,0.27569258266309205,0.3264455319920247,0.30350665054413545,고양시일산동구,0
0.2672313972032009,0.12739463601532566,0.32610267534345627,0.18393030009680542,0.26418677390527256,0.2921877832155157,0.20556227327690446,고양시일산서구,0
0.04741124317181293,0.04310344827586207,0.0359122680163895,0.057115198451113264,0.04758713136729224,0.030451332245785754,0.02055622732769044,과천시,0
0.2608490933616357,0.1772030651340996,0.22294528802120994,0.16795740561471442,0.18878462913315458,0.1819829617545768,0.09915356711003627,광명시,0
0.386249565092365,0.0871647509578544,0.28802120993010366,0.08954501452081318,0.33579088471849866,0.23799166213521844,0.28536880290205563,광주시,0
0.1591438164091611,0.04597701149425287,0.18558688840684504,0.060987415295256545,0.07082216264521894,0.15261917708899767,0.11245465538089479,구리시,0
0.23951584490617517,0.14272030651340994,0.15256688358640635,0.11181026137463698,0.15996425379803397,0.14464382816748234,0.13784764207980654,군포시,0
0.4880492320930554,0.20689655172413793,0.7459628826223187,0.27734753146176183,0.8166890080428955,0.6170019938372304,0.44981862152357915,김포시,1
0.7061528043173568,0.31609195402298845,0.982887442757291,0.4123910939012585,0.7750223413762288,0.8310676092079029,0.608222490931076,남양주시,3
0.05101672350191469,0.05938697318007663,0.06604000964087732,0.019845111326234274,0.015415549597855238,0.057640021750951606,0.04353083434099153,동두천시,0
0.20622688952961926,0.01532567049808429,0.11882381296698,0.031945788964182,0.11617515638963359,0.09769802428856263,0.07617896009673518,부천시소사구,0
0.12374864588695365,0.035440613026819924,0.021450952036635332,0.038722168441432725,0.04769883824843611,0.014863150262824,0.003627569528415961,부천시오정구,0
0.3854395667716298,0.2289272030651341,0.28536996866714875,0.19215876089060988,0.2650804289544236,0.2713431212615552,0.2599758162031439,부천시원미구,0
0.47193487525696587,0.2998084291187739,0.7047481320800193,0.46902226524685386,0.6142761394101877,0.6211709262280225,0.5223700120918984,성남시분당구,1
0.21555613848117627,0.13601532567049807,0.19378163412870572,0.17812197483059053,0.2955764075067024,0.1941272430668842,0.15840386940749696,성남시수정구,0
0.1845435198488003,0.1781609195402299,0.10580862858520125,0.16553727008712488,0.25435656836461124,0.12126155519303972,0.10278113663845224,성남시중원구,0
0.3555651165113438,0.2576628352490421,0.3251385876114727,0.24298160696999035,0.3374664879356568,0.30614464382816753,0.24788391777509067,수원시권선구,0
0.35233170858060414,0.24042145593869732,0.5008435767654857,0.2952565343659245,0.36260053619302945,0.431031357621896,0.2889963724304716,수원시영통구,1
0.25623276146866525,0.08237547892720307,0.14268498433357435,0.11519845111326235,0.2525692582663092,0.13340583650534713,0.11003627569528417,수원시장안구,0
0.16968367260702022,0.04980842911877394,0.12268016389491443,0.09293320425943855,0.153485254691689,0.10839224216059454,0.11245465538089479,수원시팔달구,0
0.5243729372756178,0.3295019157088122,0.5654374548083876,0.3543078412391094,0.36047810545129577,0.5086097516766359,0.4631197097944377,시흥시,1
0.27845722758867447,0.12356321839080459,0.30513376717281276,0.24394966118102615,0.23357908847184983,0.28094979155338046,0.309552599758162,안산시단원구,0
0.3182173890615105,0.031609195402298854,0.08628585201253314,0.08180058083252663,0.27368185880250223,0.09026644915715064,0.09794437726723094,안산시상록구,0
0.1648159997717078,0.08812260536398467,0.18389973487587372,0.1974830590513069,0.14868185880250223,0.17853906108392242,0.23941958887545345,안성시,0
0.3028965671656534,0.14559386973180077,0.23330923114003374,0.24927395934172317,0.22330205540661302,0.2300163132137031,0.1995163240628779,안양시동안구,0
0.20636957216064306,0.05747126436781609,0.12509038322487345,0.033881897386253634,0.13561215370866847,0.10639840493021571,0.11608222490931076,안양시만안구,0
0.2606317767389994,0.19157088122605362,0.34417932031814896,0.17618586640851888,0.2577077747989276,0.3039695486677542,0.25755743651753327,양주시,0
0.09334517233317931,0.034482758620689655,0.045312123403229695,0.057115198451113264,0.15638963360142988,0.03860793909733551,0.13784764207980654,양평군,0
0.0806058085001531,0.0028735632183908046,0.08435767654856592,0.033881897386253634,0.10087131367292225,0.06905927134312127,0.0894800483675937,여주시,0
0.0,0.0028735632183908046,0.0,0.0,0.0,0.0,0.0,연천군,0
0.2135849230556473,0.16762452107279693,0.23668353820197638,0.1243949661181026,0.1218722073279714,0.20464020300888167,0.1354292623941959,오산시,0
0.43488129353878163,0.07375478927203065,0.6859484213063389,0.24056147144240078,0.4636952636282395,0.5693311582381729,0.4195888754534462,용인시기흥구,1
0.3678676519816971,0.18869731800766282,0.5950831525668836,0.20183930300096806,0.49273905272564783,0.5165851005981512,0.3313180169286578,용인시수지구,1
0.24898667893005583,0.07854406130268199,0.22704266088214028,0.18489835430784124,0.3242850759606792,0.20228384991843396,0.25755743651753327,용인시처인구,0
0.12584498300430352,0.07088122605363985,0.1376235237406604,0.10067763794772508,0.1218722073279714,0.12180532898314303,0.11970979443772671,의왕시,0
0.46161123812304283,0.24425287356321837,0.418414075680887,0.2739593417231365,0.32026362823949955,0.39224216059452605,0.3192261185006046,의정부시,1
0.19824434510318695,0.07183908045977011,0.20004820438659918,0.19457889641819942,0.21000893655049152,0.19303969548667757,0.2466747279322854,이천시,0
0.5099016258137026,0.26053639846743293,0.504940949626416,0.35382381413359154,0.5204423592493298,0.4707268442994381,0.4474002418379685,파주시,1
0.6063660599728025,0.4080459770114942,0.7488551458182695,0.41529525653436594,0.48726541554959785,0.6643103135762191,0.4800483675937122,평택시,1
0.11123537914616517,0.06800766283524905,0.054470956857073996,0.11519845111326235,0.07663092046470062,0.06398404930215698,0.17049576783555015,포천시,0
0.3169156844430932,0.24999999999999997,0.39648107977825986,0.33494675701839305,0.4516309204647006,0.3810041689323908,0.249093107617896,하남시,1
0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,화성시,2
