행정구역,시군구,총 인구수,총출근발생량,전기차 수,앵커시설,급속,완속,공공기관,공영주차장,"도로, 휴게소",상업소,쇼핑센터,"스포츠, 경기장",주거공간,주유소,주차장,편의시설,충전소 개수,클러스터
가평군,가평군,62389,20592.0,919,2,72.0,380.0,13.0,8.0,4.0,4.0,2.0,2.0,186.0,3.0,6.0,22.0,250.0,1
고양시 덕양구,고양시덕양구,493506,190060.0,5538,10,190.0,1856.0,7.0,20.0,2.0,5.0,8.0,0.0,334.0,6.0,35.0,12.0,429.0,2
고양시 일산동구,고양시일산동구,293740,108701.0,3296,12,143.0,1897.0,7.0,29.0,3.0,4.0,10.0,0.0,338.0,4.0,29.0,28.0,452.0,0
고양시 일산서구,고양시일산서구,284559,105587.0,3193,7,153.0,1708.0,3.0,23.0,0.0,3.0,5.0,5.0,251.0,2.0,26.0,34.0,352.0,0
과천시,과천시,84278,25846.0,1254,2,96.0,264.0,8.0,21.0,0.0,2.0,0.0,0.0,44.0,0.0,11.0,12.0,98.0,1
광명시,광명시,278744,137485.0,2518,10,244.0,1100.0,8.0,21.0,1.0,2.0,3.0,1.0,148.0,0.0,12.0,25.0,221.0,0
광주시,광주시,392998,143245.0,3834,3,123.0,1409.0,15.0,23.0,5.0,6.0,2.0,3.0,323.0,5.0,9.0,29.0,420.0,0
구리시,구리시,186079,84273.0,1462,5,72.0,938.0,6.0,19.0,2.0,5.0,2.0,0.0,157.0,1.0,5.0,15.0,212.0,1
군포시,군포시,259307,134493.0,2260,5,110.0,894.0,8.0,41.0,3.0,4.0,6.0,1.0,132.0,0.0,11.0,26.0,232.0,0
김포시,김포시,485749,164278.0,8139,11,259.0,3500.0,15.0,48.0,1.0,12.0,15.0,1.0,488.0,9.0,44.0,34.0,667.0,2
남양주시,남양주시,684466,259228.0,7766,15,321.0,4681.0,18.0,69.0,2.0,11.0,20.0,1.0,673.0,2.0,71.0,44.0,911.0,2
동두천시,동두천시,87563,35637.0,966,3,47.0,414.0,6.0,22.0,0.0,2.0,2.0,1.0,80.0,0.0,4.0,12.0,129.0,1
부천시 소사구,부천시소사구,228977,120264.0,1868,6,61.0,635.0,2.0,9.0,0.0,2.0,3.0,0.0,111.0,1.0,8.0,11.0,147.0,0
부천시 오정구,부천시오정구,153830,120264.0,1255,0,92.0,178.0,2.0,9.0,0.0,5.0,1.0,0.0,41.0,3.0,4.0,8.0,73.0,1
부천시 원미구,부천시원미구,392260,120264.0,3201,13,79.0,1593.0,9.0,38.0,1.0,2.0,4.0,4.0,269.0,3.0,20.0,27.0,377.0,0
성남시 분당구,성남시분당구,471067,175293.0,6327,9,274.0,3523.0,12.0,62.0,2.0,4.0,4.0,1.0,525.0,6.0,49.0,71.0,736.0,2
성남시 수정구,성남시수정구,237477,110612.0,3474,5,101.0,1167.0,6.0,55.0,1.0,3.0,3.0,0.0,152.0,1.0,17.0,30.0,268.0,0
성남시 중원구,성남시중원구,209221,119894.0,3105,1,95.0,765.0,9.0,58.0,0.0,8.0,1.0,1.0,107.0,1.0,7.0,21.0,213.0,0
수원시 권선구,수원시권선구,365041,161709.0,3849,10,194.0,1785.0,11.0,50.0,1.0,8.0,10.0,1.0,221.0,4.0,18.0,31.0,355.0,0
수원시 영통구,수원시영통구,362095,154321.0,4074,9,308.0,2474.0,8.0,46.0,0.0,2.0,13.0,0.0,363.0,3.0,36.0,28.0,499.0,0
수원시 장안구,수원시장안구,274538,116865.0,3089,8,142.0,832.0,9.0,25.0,0.0,2.0,3.0,3.0,143.0,2.0,6.0,19.0,212.0,0
수원시 팔달구,수원시팔달구,195682,88934.0,2202,6,118.0,694.0,7.0,19.0,0.0,1.0,2.0,0.0,134.0,1.0,10.0,22.0,196.0,1
시흥시,시흥시,518844,250753.0,4055,11,292.0,2902.0,10.0,92.0,3.0,9.0,12.0,1.0,390.0,7.0,32.0,46.0,602.0,2
안산시 단원구,안산시단원구,294787,182149.0,2919,9,219.0,1646.0,14.0,35.0,5.0,7.0,10.0,7.0,231.0,2.0,37.0,35.0,383.0,0
안산시 상록구,안산시상록구,331013,160090.0,3278,5,74.0,594.0,8.0,17.0,0.0,3.0,4.0,3.0,83.0,2.0,18.0,29.0,167.0,0
안성시,안성시,191247,94750.0,2159,6,234.0,1081.0,24.0,29.0,7.0,10.0,9.0,1.0,203.0,1.0,20.0,27.0,331.0,1
안양시 동안구,안양시동안구,317054,138134.0,2827,10,133.0,1365.0,5.0,22.0,0.0,12.0,11.0,2.0,203.0,2.0,19.0,25.0,301.0,0
안양시 만안구,안양시만안구,229107,100753.0,2042,2,50.0,683.0,4.0,19.0,0.0,1.0,1.0,0.0,137.0,2.0,17.0,10.0,191.0,0
양주시,양주시,278546,93253.0,3135,4,158.0,1773.0,15.0,29.0,2.0,7.0,5.0,0.0,261.0,4.0,21.0,30.0,374.0,0
양평군,양평군,126129,26368.0,2228,1,145.0,309.0,15.0,16.0,7.0,2.0,3.0,1.0,115.0,0.0,16.0,20.0,195.0,1
여주시,여주시,114522,45690.0,1731,2,87.0,477.0,15.0,4.0,8.0,2.0,9.0,0.0,96.0,0.0,7.0,23.0,164.0,1
연천군,연천군,41081,13107.0,828,0,58.0,96.0,17.0,6.0,0.0,1.0,0.0,1.0,24.0,1.0,2.0,14.0,66.0,1
오산시,오산시,235681,120312.0,1919,6,149.0,1225.0,10.0,32.0,3.0,5.0,5.0,0.0,166.0,1.0,10.0,16.0,248.0,0
용인시 기흥구,용인시기흥구,437307,159466.0,4979,13,173.0,3237.0,6.0,25.0,5.0,7.0,8.0,0.0,522.0,2.0,29.0,37.0,641.0,2
용인시 수지구,용인시수지구,376250,113277.0,5239,8,69.0,2946.0,4.0,39.0,2.0,0.0,5.0,0.0,515.0,0.0,40.0,23.0,628.0,0
용인시 처인구,용인시처인구,267936,114930.0,3731,5,243.0,1212.0,24.0,24.0,7.0,6.0,4.0,2.0,203.0,5.0,14.0,34.0,323.0,0
의왕시,의왕시,155740,62731.0,1919,3,143.0,768.0,5.0,25.0,2.0,3.0,4.0,0.0,140.0,1.0,11.0,17.0,208.0,1
의정부시,의정부시,461661,179439.0,3695,10,142.0,2260.0,10.0,48.0,3.0,8.0,8.0,0.0,350.0,5.0,53.0,24.0,509.0,2
이천시,이천시,221704,105797.0,2708,4,217.0,1161.0,26.0,16.0,14.0,13.0,5.0,2.0,195.0,3.0,13.0,38.0,325.0,0
파주시,파주시,505659,201565.0,5487,13,227.0,2693.0,18.0,66.0,2.0,12.0,13.0,3.0,435.0,5.0,72.0,35.0,661.0,2
평택시,평택시,593549,229128.0,5190,10,245.0,3761.0,17.0,52.0,3.0,14.0,11.0,3.0,475.0,7.0,43.0,45.0,670.0,2
포천시,포천시,142429,73416.0,1514,3,159.0,449.0,23.0,23.0,0.0,4.0,7.0,5.0,116.0,2.0,16.0,31.0,227.0,1
하남시,하남시,329827,104409.0,4871,8,173.0,2198.0,10.0,44.0,5.0,9.0,8.0,1.0,225.0,1.0,10.0,35.0,348.0,0
화성시,화성시,952194,425616.0,9780,15,642.0,5613.0,40.0,181.0,13.0,31.0,26.0,3.0,842.0,9.0,89.0,87.0,1321.0,3
